university,course_name,students
"Aalborg University","IMML German",0
"Aalto University",Law,0
"Aberdeen, University of","LLB Law With European Law",1
"Abertay, University of",Mathematics/Statistics,1
"Abingdon and Witney College","Politics And Eastern European Studies With A Year Abroad",0
"American University of Kuwait",Politics,3
"Arizona State University","Master Of Law",0
"Asia Pacific College","Maths And Accounting",0
"Askham Bryan College","BA(Hons) Politics And Modern History",0
BPP,"LAW AND INTERNATIONAL RELATIONS",1
"Bandung Institute of Technology","International Commercial & Maritime Law",0
"Barking College","LL.B (Hons)",0
"Barnet College","BBA Management",1
"Beijing Institute of Technology","Law And Business Studies",1
"Birmingham, University of","(BA) English Literature And American Studies",0
"Bishop Grosseteste College",Philosophy,1
"Blackburn College","LLB Law With Politics",1
"Blackburn College","Business & Law",0
"Bradford, University of","Law LLB 2015",1
"Brighton College of Technology","Law And Business",1
"Brooklyn College","Property/Real Estate",0
"Camberwell College of Arts",Languages,5
"Cardiff University","LLM In Banking And Finance",0
"Chulalongkorn University",History,1
"Chungang University","BA Modern Languages With Business Management",1
"Chuo University",Medical/Health,0
"City University of Hong Kong","Computer And Systems Engineering",2
"City of Sunderland College","LLB (European) Law",1
"Clark Atlanta University","Management Consultancy",2
"Clark Atlanta University","LL.B Law",0
"Coastal Carolina University","BSc Computer Networks",0
"College of Staten Island - Macaulay Honors College","Business Analytics",1
"College of the Holy Cross",Classics,0
"Columbia Business School",Commerce,1
"Cooper Union",Linguistics,0
"Creighton University","English Literature And Politics",0
"DIW Berlin","Natural Sciences",1
"Deakin University","Digital Forensics",0
"Delhi University","Geography And Geology",2
"Doncaster College","Mechanical Engineering",1
"Drake University","Msc Construction Project Management",0
"Dublin City University","Criminology And Social Policy",3
"Duisenberg School of Finance","Environmental Science",0
"Dundee College",Environmental,1
ENSAE,"Human Resource Management",1
ESB-Reutlingen,"Material And Mineral Engineering",0
"ESCP Europe (London)","Business And Law",0
"ESCP Europe (London)","BSc Philosophy, Logic And Scientific Method",0
"ESSEC Business School (Paris)","Biomedical Science",0
"Ealing & West London College",Art,0
"Ealing & West London College","International Relations",0
"East China Normal University","Business & Management",0
"Ecole Centrale de Paris","Bar Professional Training Course",0
"Ecole Nationale Superieure de Techniques Avancees","German And Management",0
"Edinburgh, University of","English Law & Hong Kong Law",0
"Edinburgh, University of","LLB 2014",1
"Elmhurst College","Social Care",0
"Erasmus University Rotterdam",Automotive,0
"European Business School","Social Sciences Incl Human Geography",0
"European Business School (Oestrich-Winkel)","Public Sector/Governmental",1
"Flinders University","History (BA Hons)",0
"Florida International University","Business Information Systems",2
"Friedrich Alexander University","Applied Accounting",0
"Ghent University",LLM,0
